,popularity,budget,vote_average,Tomatoes,Profit_Margin,Success
Sky Captain and the World of Tomorrow,9.64113,70000000,5.7,70,-0.207756641,0
Mao's Last Dancer,1.862215,25000000,6.8,56,-0.206595677,0
That's My Boy,8.923755,70000000,5.5,20,-0.205683239,0
Gremlins 2: The New Batch,14.383185,50000000,6.3,71,-0.205336061,0
Casualties of War,7.435688,22500000,6.8,83,-0.205056933,0
20th Century Women,9.855927,7000000,7.3,88,-0.203532678,0
EuroTrip,6.275468,25000000,6.5,47,-0.2021053,0
Ridicule,10.879283,3000000,7.4,80,-0.198164891,0
King Arthur: Legend of the Sword,44.251369,175000000,6.5,31,-0.197194602,0
Rambling Rose,3.399684,7500000,6.4,100,-0.196817232,0
Manhattan Murder Mystery,8.939404,13500000,7.1,94,-0.196215917,0
Twin Dragons,10.222076,10000000,6.2,44,-0.196212743,0
Swing Vote,5.204249,21000000,5.8,38,-0.193181818,0
What Dreams May Come,11.218378,85000000,6.8,52,-0.189059927,0
Fortress,5.970749,8000000,5.7,38,-0.187094913,0
The Cold Light of Day,11.112153,20000000,4.8,4,-0.18598758,0
Meet Dave,11.542926,60000000,5.1,20,-0.18459835,0
The Producers,5.037224,45000000,6.1,91,-0.182395394,0
The Tale of Despereaux,12.364579,60000000,5.8,57,-0.179311457,0
Dark Water,6.53565,30000000,5.3,47,-0.177713284,0
Mimic,9.128905,30000000,5.7,67,-0.177371393,0
The Black Cauldron,9.806685,25000000,6.5,55,-0.174332364,0
Brigham City,0.202478,1000000,7.3,71,-0.173425205,0
"I Love You, Beth Cooper",9.434281,18000000,5.2,13,-0.173005163,0
Last Holiday,5.53836,45000000,6.4,55,-0.17187619,0
The Four Feathers,6.894153,35000000,6.5,100,-0.171248395,0
Victor Frankenstein,9.447808,40000000,5.6,26,-0.168657836,0
Basic,14.327717,50000000,6.2,21,-0.168427382,0
Pan,11.30428,150000000,5.9,26,-0.168330577,0
The Astronaut Farmer,6.862146,13000000,6.2,58,-0.167921089,0
Looney Tunes: Back in Action,13.666488,80000000,5.6,57,-0.167630185,0
Glengarry Glen Ross,6.792215,12500000,7.5,95,-0.165476389,0
Manny & Lo,1.143656,500000,6.3,59,-0.159215999,0
We Need to Talk About Kevin,5.325574,7000000,7.4,75,-0.159143439,0
He Got Game,13.06943,25000000,6.7,80,-0.159132529,0
Talk Radio,6.865513,4000000,6.7,82,-0.153212331,0
Red Tails,7.145835,58000000,5.9,40,-0.151584748,0
25th Hour,10.271871,15000000,7.2,79,-0.148471044,0
Monte Carlo,8.34835,20000000,6,40,-0.147776184,0
A Guy Thing,4.444724,20000000,5.3,25,-0.147304554,0
Two for the Money,9.003792,35000000,5.9,22,-0.146544467,0
Killer Elite,8.046632,66000000,6.1,28,-0.142320974,0
The Legend of Hercules,6.599539,70000000,4.4,5,-0.142307865,0
Away We Go,6.590093,17000000,6.7,67,-0.140984241,0
The Wiz,4.233081,24000000,5.8,41,-0.140193813,0
The Aviator,9.86738,116000000,7,86,-0.137254902,0
Saving Silverman,8.526823,22000000,5.4,19,-0.136858722,0
Hot Tub Time Machine 2,6.575393,14000000,5,14,-0.136857228,0
Body Double,9.836894,10000000,6.4,77,-0.136113175,0
Mobsters,12.511561,23000000,5.7,9,-0.135982543,0
A Scanner Darkly,11.643026,8700000,6.8,68,-0.135782393,0
Frantic,8.105859,20000000,6.6,76,-0.133918624,0
Big Game,6.911759,8500000,5.3,77,-0.133333333,0
Ella Enchanted,11.316988,31000000,5.9,51,-0.131850879,0
Galaxina,1.409619,5500000,3.3,17,-0.130524152,0
The Pick-up Artist,3.799983,15000000,5.4,61,-0.12863692,0
Don Juan DeMarco,7.438934,25000000,6.3,72,-0.126126126,0
Premium Rush,5.654784,35000000,6.2,75,-0.125995738,0
Into the Blue,10.022102,50000000,5.8,21,-0.12525332,0
College,10.36168,7000000,4.8,5,-0.123545731,0
School for Scoundrels,10.725567,20000000,5.6,27,-0.123117928,0
Bedknobs and Broomsticks,10.362012,20000000,6.8,67,-0.117318436,0
Chandni Chowk To China,1.970481,10500000,5.3,42,-0.117021277,0
Rendition,13.482558,27500000,6.2,47,-0.111170823,0
Hanging Up,6.474767,40000000,5,12,-0.109942311,0
Unknown,13.505066,3700000,6.4,38,-0.108372466,0
For Richer or Poorer,8.412203,35000000,5.6,13,-0.107201635,0
The Doors,7.829619,38000000,6.7,57,-0.104108962,0
Pompeii,12.204174,130000000,5.2,27,-0.103269121,0
1941,7.812379,35000000,5.6,40,-0.102162878,0
Simon Birch,2.651408,20000000,6.5,44,-0.095685383,0
Elizabethtown,11.82081,57000000,6.1,28,-0.095418883,0
The Incredible Burt Wonderstone,9.385769,30000000,5.3,38,-0.093378895,0
Showtime,4.917863,85000000,5.3,25,-0.093363858,0
Analyze That,9.927412,60000000,5.7,27,-0.090846913,0
Sahara,8.946243,130000000,5.7,23,-0.089968645,0
Children of Men,14.114606,76000000,7.4,92,-0.086338915,0
Lock Up,4.701379,24000000,6.2,31,-0.085980369,0
Ladyhawke,8.157587,20000000,6.8,65,-0.085069444,0
Collateral Damage,10.175503,85000000,5.5,19,-0.08442666,0
Warrior,13.121626,25000000,7.7,84,-0.084264011,0
One for the Money,6.322435,40000000,5.3,2,-0.08419533,0
The Quiet American,8.230447,30000000,6.5,87,-0.084045154,0
Bel Ami,7.720692,9000000,5,27,-0.08391149,0
Soul Plane,8.604389,16000000,4.7,18,-0.079451256,0
Kingpin,11.633347,27000000,6.7,49,-0.078988599,0
Catch That Kid,5.226389,18000000,5,13,-0.077659496,0
Untraceable,7.85217,35000000,5.9,16,-0.077473085,0
Matilda,10.034915,36000000,6.9,91,-0.075930315,0
Big Fan,5.130276,250000,6.1,86,-0.07419693,0
Snowden,14.384554,40000000,7,61,-0.07297752,0
Doom,11.953553,60000000,5,18,-0.071671209,0
Happiness,5.493697,3000000,7.4,83,-0.068608209,0
Batman: Mask of the Phantasm,7.29114,6000000,7.4,86,-0.068111513,0
Bicentennial Man,9.369918,100000000,6.9,36,-0.067235859,0
In the Heart of the Sea,11.696923,100000000,6.5,42,-0.065862205,0
Captain Ron,5.429614,24000000,5.6,26,-0.065809424,0
15 Minutes,12.149946,60000000,5.7,32,-0.06458519,0
Your Friends & Neighbors,1.564774,5000000,5.9,77,-0.061402338,0
Bangkok Dangerous,6.576009,45000000,5,51,-0.059137782,0
Home on the Range,8.555544,110000000,5.7,52,-0.058186186,0
Norm of the North,7.008103,18000000,4.1,6,-0.054945117,0
The Age of Innocence,8.013617,34000000,7,87,-0.05408576,0
Green Zone,11.174041,100000000,6.4,53,-0.053930809,0
Te3n,1.434237,5069632,6.8,67,-0.052305672,0
The Rundown,8.304835,85000000,6.4,69,-0.050465707,0
Quest for Camelot,13.02535,40000000,6.9,43,-0.047874779,0
Inkheart,13.570926,60000000,6,38,-0.043652977,0
The Dilemma,7.513067,70000000,5.2,24,-0.043022223,0
Crimes and Misdemeanors,6.645295,19000000,7.4,92,-0.040827728,0
Faster,9.014972,24000000,6.1,53,-0.039783593,0
Drowning Mona,4.372616,16000000,5.4,29,-0.037129764,0
Latter Days,3.334942,850000,6.8,46,-0.036662483,0
The Past,9.166555,11000000,7.1,92,-0.034637111,0
Red Lights,11.535478,14000000,6,84,-0.03312082,0
90 Minutes in Heaven,4.222496,5000000,5.4,26,-0.032482093,0
The Wicker Man,9.423256,40000000,4,90,-0.032122943,0
American Ultra,9.534828,28000000,6,44,-0.031705641,0
P2,9.276709,8000000,5.7,34,-0.030099508,0
Intermission,3.715985,5000000,6.4,74,-0.029590853,0
Bulworth,3.385342,30000000,6.3,76,-0.027295797,0
The Hitcher,5.648114,6000000,6.9,62,-0.026541575,0
The Next Best Thing,2.971999,25000000,4.3,19,-0.026155809,0
The Transformers: The Movie,6.759181,6000000,7.1,62,-0.025702918,0
Exorcist: The Beginning,13.02369,80000000,4.7,10,-0.02563332,0
Clue,7.720009,15000000,7.1,68,-0.024310508,0
Fred Claus,5.502098,100000000,5.5,21,-0.022094107,0
The Frighteners,12.09096,30000000,6.7,67,-0.021825651,0
Biker Boyz,11.269558,24000000,5,22,-0.020816099,0
Four Eyed Monsters,0.634211,250000,6,80,-0.020408163,0
On Deadly Ground,6.678661,50000000,4.6,12,-0.020408163,0
The Black Dahlia,6.506572,50000000,5.7,32,-0.018097663,0
True Romance,17.189328,12500000,7.5,93,-0.01778676,0
A United Kingdom,6.249112,14000000,6.5,84,-0.013087718,0
Sex Drive,9.106146,19000000,6,45,-0.013012627,0
Evan Almighty,9.156877,175000000,5.3,24,-0.011560694,0
Scouts Guide to the Zombie Apocalypse,20.683405,15000000,6.2,44,-0.009369234,0
Raise Your Voice,4.387004,15000000,6,15,-0.008911106,0
Raising Helen,12.448933,50000000,5.9,25,-0.005659631,0
Serenity,11.919995,39000000,7.4,82,-0.003358317,0
The Brave One,11.8027,70000000,6.4,43,-0.003345167,0
Wish I Was Here,6.149295,5500000,6.4,46,-0.003045794,0
Win a Date with Tad Hamilton!,5.924226,17000000,5.5,55,-0.001172078,0
Vibes,7.368928,1884000,6,13,-0.000100329,0
Nick of Time,6.848591,8169363,6.1,30,0.000731834,0
Where the Wild Things Are,12.36223,100000000,6.4,73,0.000867177,0
Beautiful Creatures,20.485203,60000000,5.6,47,0.000868212,0
Absolute Power,7.66124,50000000,6.4,56,0.001364336,0
Stoker,7.222816,12000000,6.5,70,0.006412037,0
The Dreamers,6.685981,15000000,7.2,60,0.008012941,0
Appaloosa,12.392754,20000000,6.3,76,0.01045915,0
Angel Heart,7.290872,17000000,7,82,0.010801581,0
Jack the Giant Slayer,11.606061,195000000,5.5,52,0.013595203,0
The Flowers of War,6.587711,94000000,7.1,42,0.013759461,0
The Frisco Kid,7.085212,9200000,6,54,0.015640299,0
Basquiat,4.797674,2962051,6.6,67,0.016320431,0
Deuce Bigalow: European Gigolo,5.341117,22000000,4.6,9,0.017863895,0
Walking Tall,10.577565,56000000,6,75,0.021387746,0
After the Sunset,11.945666,60000000,6,18,0.02196977,0
Jawbreaker,7.434797,3000000,5.9,14,0.024967336,0
Rabbit Hole,7.007993,5000000,6.8,87,0.025162125,0
Howard the Duck,10.722672,37000000,5.1,14,0.025361002,0
House of Sand and Fog,9.245145,16500000,7,74,0.026134708,0
Speed 2: Cruise Control,11.268531,160000000,4.1,4,0.027403313,0
Bleed for This,7.873407,6000000,6.7,70,0.028259981,0
Babylon A.D.,9.273808,70000000,5.4,7,0.029242112,0
Transcendence,9.730176,100000000,5.9,19,0.029496117,0
Shadow of the Vampire,12.691457,8000000,6.6,81,0.033701706,0
Shanghai Noon,10.308442,55000000,6.2,80,0.033940396,0
Pride and Glory,5.844016,30000000,6.3,35,0.036866441,0
Jacob's Ladder,8.176863,25000000,7.3,4,0.037170755,0
Stardust Memories,5.720538,10000000,6.9,68,0.037443728,0
Year One,10.087637,60000000,4.6,14,0.03781237,0
The Ref,5.868677,11000000,6.7,73,0.038393705,0
Outside Providence,3.10924,7000000,5.6,51,0.040066921,0
The Score,14.741992,68000000,6.7,56,0.043195286,0
Jupiter Ascending,21.463465,176000003,5.2,28,0.043414418,0
K-PAX,12.400152,48000000,7.1,42,0.046012791,0
Lootera,1.296259,4100000,6.6,67,0.046511628,0
Bounce,13.349518,35000000,5.5,53,0.048377652,0
Ong Bak 2,8.553506,8500000,5.9,49,0.048861975,0
Affliction,4.40959,6000000,5.8,88,0.052140787,0
Matchstick Men,5.539265,62000000,6.9,82,0.054383214,0
Fifty Shades of Black,6.785049,20000000,4.3,4,0.05503473,0
ATL,2.582818,20000000,6,62,0.055292011,0
My Way,7.847574,27563396,6.2,83,0.055832411,0
Traitor,7.859606,22000000,6.6,64,0.065056393,0
Eastern Promises,9.897909,51500000,7.2,89,0.065545302,0
Laws of Attraction,5.739139,28000000,5.6,18,0.067169307,0
CHiPS,12.238061,25000000,6.2,19,0.06716947,0
The Kid,15.045725,65000000,6,44,0.067431851,0
Cowboys & Aliens,10.958669,163000000,5.4,44,0.067624801,0
Barfly,15.170192,3000000,7.3,76,0.068776447,0
Case 39,9.644085,27000000,6.1,21,0.068965517,0
Four Rooms,9.026586,4000000,6.5,13,0.069767442,0
Mohenjo Daro,1.423358,15050000,6.7,36,0.069839308,0
Batman: The Killing Joke,6.488277,3500000,6.2,36,0.072847682,0
Alexander,13.498641,155000000,5.6,16,0.073510609,0
Hidalgo,8.140709,100000000,6.5,46,0.074960142,0
The Disappearance of Alice Creed,7.271526,800000,6.4,81,0.078037233,0
Iron Sky,19.561767,7500000,5.6,41,0.078061288,0
Outland,6.918821,16000000,6.2,54,0.079115225,0
Next,9.41746,70000000,5.9,28,0.07975671,0
Captain Corelli's Mandolin,9.243715,57000000,5.6,28,0.08231616,0
The Incredible Hulk,19.125537,150000000,6.1,63,0.083757255,0
Cookie's Fortune,3.380684,10000000,6.2,86,0.084294702,0
Sucker Punch,13.779527,82000000,5.9,22,0.086783438,0
Charlie St. Cloud,6.273131,44000000,6.8,28,0.086960838,0
Beerfest,7.481125,17500000,5.8,40,0.087589766,0
Wild Child,10.420849,20000000,6.4,41,0.089764511,0
Fair Game,6.303785,22000000,6.5,64,0.090492747,0
Spacehunter: Adventures in the Forbidden Zone,3.521436,15000000,5.1,29,0.090909091,0
Confessions of a Dangerous Mind,7.645827,30000000,6.6,79,0.091289235,0
Confessions of a Dangerous Mind,11.331072,30000000,6.6,79,0.091289235,0
Man on a Ledge,10.528173,42000000,6.2,31,0.091325842,0
Tomorrowland,22.296076,190000000,6.2,50,0.091579853,0
The Chronicles of Riddick,5.060352,105000000,6.3,29,0.093050693,0
The Ant Bully,7.000272,50000000,5.5,62,0.093893131,0
Carnage,8.844835,25000000,7,25,0.094303608,0
Ice Princess,9.313354,25000000,5.9,52,0.095693399,0
Deepwater Horizon,13.1984,110000000,6.5,82,0.096808744,0
Dirty Dancing: Havana Nights,4.475359,25000000,6,23,0.096984448,0
The Marine,6.679168,20000000,5,17,0.097701268,0
Agent Cody Banks 2: Destination London,12.59201,26000000,5.2,14,0.097817256,0
Whip It,14.511442,15000000,6.7,85,0.098180218,0
City Island,7.016044,6000000,6.9,82,0.100545789,0
Dreamcatcher,7.694847,68000000,5.2,28,0.101900437,0
The Messenger: The Story of Joan of Arc,9.471838,60000000,6.2,32,0.104160953,0
Boys on the Side,3.030309,21000000,6.3,73,0.104477612,0
In the Mouth of Madness,8.497643,8000000,7.1,58,0.105805557,0
Hipsters,2.587727,15000000,6.2,80,0.107694334,0
Star Trek: Nemesis,11.367801,60000000,6.1,38,0.108639414,0
Grudge Match,11.655588,40000000,6,30,0.109275427,0
Patriots Day,14.547939,45000000,6.8,80,0.10975974,0
Xanadu,3.782547,20000000,5.2,30,0.10998752,0
Furry Vengeance,10.794556,35000000,4.6,7,0.110324288,0
Labor Day,6.108646,18000000,6.7,34,0.112242706,0
Shopgirl,4.349046,10284523,5.7,61,0.112500771,0
Meet the Robinsons,10.529576,150000000,6.7,67,0.11417137,0
Demonic,9.234943,3000000,5,33,0.114260407,0
Leprechaun 2,3.3924,2000000,4.8,6,0.115287739,0
Unleashed,7.90583,45000000,6.6,75,0.11541153,0
The Stepford Wives,10.81552,90000000,5.4,26,0.117647059,0
Superman IV: The Quest for Peace,7.990679,17000000,4.1,10,0.119170984,0
Firestarter,7.048087,15000000,5.9,10,0.121788446,0
22,88.439243,18000000,5.4,15,0.121858865,0
Annie,8.997507,50000000,6.2,49,0.123714096,0
Ender's Game,12.500305,110000000,6.6,62,0.123765642,0
Bad News Bears,4.469459,30000000,5.7,48,0.124160395,0
200 Cigarettes,3.227046,6000000,6.1,30,0.124400762,0
Mermaids,5.55237,31000000,6.5,71,0.124773355,0
"Happy, Texas",2.939685,1700000,5.5,81,0.125356482,0
Armored,9.951662,20000000,5.5,40,0.12824482,0
The Rainmaker,6.683398,40000000,6.7,80,0.128858566,0
Grease 2,14.202364,13200000,4.9,35,0.129946223,0
Blast from the Past,8.355977,35000000,6.3,58,0.130715977,0
Tango & Cash,7.507261,55000000,6.1,31,0.132609964,0
Draft Day,5.596449,25000000,6.5,60,0.132882166,0
Happy Feet Two,9.141045,130000000,5.8,45,0.135675457,0
Let's Go to Prison,3.856827,4000000,5.5,13,0.136077511,0
Take the Lead,5.364459,30000000,6.6,44,0.136493495,0
Tora! Tora! Tora!,7.262326,25485000,6.9,55,0.137513571,0
The Thirteenth Floor,9.356587,16000000,6.8,30,0.138120871,0
Get Rich or Die Tryin',9.820229,40000000,6.3,17,0.138720442,0
Torque,5.574983,40000000,4.7,22,0.140638708,0
Random Hearts,4.140398,64000000,5.3,15,0.142189698,0
Disturbing Behavior,11.054751,15000000,5.5,33,0.143217873,0
Kidnap,20.214579,21000000,6,35,0.143806225,0
Masterminds,9.434588,25000000,5.6,19,0.143835616,0
Miss Potter,8.599342,30000000,6.3,68,0.144768975,0
Birdman of Alcatraz,4.471515,2650000,7,91,0.14516129,0
Lights in the Dusk,2.329388,1380000,6.6,69,0.14552036,0
The 6th Day,8.41311,82000000,5.7,40,0.146593194,0
Self/less,25.301568,26000000,6.3,19,0.148189644,0
W.,8.937049,25100000,6,58,0.149338938,0
The Opposite of Sex,14.734622,5000000,5.9,81,0.149551967,0
The Painted Veil,0.631309,947000,5.2,74,0.154464286,0
Rules of Engagement,10.278274,60000000,6,37,0.154929577,0
xXx: State of the Union,19.144611,60000000,4.7,17,0.15580863,0
Frailty,7.397953,11000000,7,75,0.160974514,0
16 Blocks,11.887779,55000000,6.2,56,0.162411731,0
Tin Cup,6.24966,45000000,5.9,72,0.164416595,0
The Brothers Grimm,15.66148,88000000,5.6,38,0.16442158,0
Woodlawn,3.216606,12000000,6.8,73,0.166324918,0
Consenting Adults,2.967012,18000000,5.6,23,0.166347409,0
I Think I Love My Wife,3.966066,11000000,5,19,0.166429541,0
Igor,9.369432,25000000,5.6,39,0.166666667,0
The Gift,7.886926,10000000,6.4,91,0.167266374,0
The Manchurian Candidate,10.796939,80000000,6.2,97,0.167585479,0
A Good Year,7.82187,35000000,6.5,26,0.167936653,0
Seventh Son,15.297821,95000000,5.2,12,0.167970275,0
Perfect Stranger,9.925255,60795000,5.4,10,0.16822422,0
The Preacher's Wife,4.182641,40000000,5.4,62,0.168281777,0
The International,6.583609,50000000,6,58,0.168902195,0
My Life in Ruins,7.19669,17000000,5.6,10,0.168918571,0
Wolf Creek 2,6.842107,8000000,5.9,50,0.169301021,0
Godsend,11.271148,25000000,4.7,4,0.169834771,0
Larry Crowne,10.778028,30000000,5.7,37,0.170362586,0
Crossover,0.906143,5800000,4.2,2,0.171428571,0
Sugar & Spice,7.715908,11000000,5.7,28,0.171496653,0
Let Me In,11.11946,20000000,6.7,88,0.171692183,0
An American Werewolf in Paris,7.145784,22000000,5.3,7,0.172012923,0
Mean Creek,12.428269,500000,6.9,89,0.172107302,0
Miami Vice,11.72545,135000000,5.7,47,0.175796546,0
The King's Choice,1.176258,7500000,6.6,83,0.175824176,0
The Girl Next Door,13.083718,25000000,6.3,67,0.177933986,0
Righteous Kill,7.094624,60000000,5.9,18,0.180042967,0
The Shaggy Dog,4.878907,50000000,4.5,68,0.181842346,0
Tears of the Sun,10.614987,70000000,6.4,34,0.182552952,0
Snitch,13.542675,35000000,5.8,57,0.184728084,0
Deep Blue Sea,7.493615,60000000,5.6,60,0.185316448,0
The Family,8.047735,30000000,6.1,71,0.186864611,0
The Air Up There,1.896273,17080000,5.1,21,0.18711182,0
Keeping the Faith,6.045585,30000000,5.9,69,0.189977407,0
RED,12.595165,58000000,6.6,70,0.190678424,0
The Core,11.664861,60000000,5.5,40,0.191464746,0
The Kingdom,13.842333,70000000,6.5,51,0.192232116,0
The Railway Man,6.099421,18000000,6.7,67,0.193158811,0
Paris,4.249948,19000000,6.5,66,0.193205945,0
The Island of Dr. Moreau,12.725343,40000000,4.6,22,0.193999796,0
Ladder 49,7.650411,60000000,6.2,41,0.195081486,0
Kicking & Screaming,9.875573,45000000,5.6,41,0.197437979,0
Welcome Home Roscoe Jenkins,4.386145,35000000,5.7,23,0.198181659,0
Anna Karenina,1.810574,1152000,6.6,62,0.199444058,0
The Cowboys,3.189566,6000000,7,80,0.2,0
The Rescuers Down Under,1.562471,37931000,6.6,71,0.200298722,0
Machete Kills,9.251084,12000000,5.3,29,0.200435017,0
Ruby in Paradise,0.941994,800000,5.6,86,0.20114795,0
Forces of Nature,7.906035,75000000,5.1,89,0.201177401,0
Dinner for Schmucks,11.623718,69000000,5.5,42,0.201276633,0
Pumpkinhead,11.841506,3500000,5.9,65,0.201918315,0
Full Frontal,2.186683,2000000,4.8,39,0.202057415,0
Arthur and the Invisibles,11.621534,86000000,6,22,0.203292337,0
Judge Dredd,8.184815,90000000,5.4,22,0.207002911,0
Incarnate,15.909181,5000000,5.1,17,0.211587146,0
Brother,8.134524,12000000,6.8,47,0.213114754,0
I Don't Know How She Does It,6.562982,24000000,5,17,0.214441061,0
Point Break,7.291872,105000000,5.5,71,0.214769577,0
The Bling Ring,7.913029,15000000,5.3,60,0.21653557,0
The Mechanic,9.832342,40000000,6.3,40,0.216773684,0
Cloud Atlas,13.494246,102000000,6.6,66,0.218288182,0
In the Valley of Elah,9.604552,23000000,6.6,74,0.221441896,0
Aliens in the Attic,11.618472,45000000,5.3,34,0.222543556,0
54,8.736869,13000000,5.5,15,0.224212356,0
My Brother Is an Only Child,4.391819,5000000,6.7,84,0.226399698,0
The Wraith,7.657918,2700000,5.9,36,0.228571429,0
Paper Heart,7.648005,1000000,5.7,60,0.228972737,0
The Light Between Oceans,8.483245,20000000,6.9,62,0.229468603,0
Queen of the Damned,8.436243,35000000,5.5,17,0.230415899,0
A Rage in Harlem,2.404818,8000000,5.8,66,0.230769231,0
Crazy/Beautiful,6.236729,13000000,6.6,63,0.232092531,0
Priest,8.259952,60000000,5.4,64,0.233805825,0
RoboCop 2,10.969876,35000000,5.6,28,0.233820025,0
Wild Wild West,9.887602,170000000,5.1,16,0.23459515,0
Starman,9.763928,22000000,6.6,86,0.234632357,0
Shut In,6.944457,10000000,4.8,60,0.235595037,0
Killers,6.540621,75000000,5.7,73,0.235941032,0
Elektra,13.802674,43000000,4.9,11,0.241375935,0
The Next Karate Kid,9.9697,12000000,4.8,7,0.241801217,0
Altered States,10.603299,15000000,6.7,85,0.244480629,0
Next of Kin,3.801832,12000000,5,50,0.24730101,0
The Boondock Saints II: All Saints Day,8.051448,8000000,5.8,23,0.247364907,0
Armed and Dangerous,5.037671,12000000,5.3,10,0.247438186,0
Robot & Frank,9.291494,2500000,6.8,86,0.248128894,0
Khatta Meetha,0.494047,7500000,5.1,17,0.25,0
The Meddler,5.510288,3200000,6,85,0.250096902,0
The Tailor of Panama,6.226933,21000000,6.2,75,0.250226592,0
Runaway Jury,8.810961,60000000,6.9,73,0.251442284,0
The Ghost Writer,6.76482,45000000,6.7,84,0.252768468,0
The Emoji Movie,33.694599,50000000,5.8,6,0.252771534,0
Wimbledon,14.224013,31000000,6,61,0.253228108,0
Caligula,11.157288,17500000,5.3,22,0.253353085,0
Paris Can Wait,8.966129,5000000,6.4,47,0.253731343,0
The Ballad of Cable Hogue,2.537955,3716946,6.9,94,0.2566108,0
Jarhead,9.997032,72000000,6.6,61,0.256889241,0
Poltergeist III,7.977693,10500000,4.6,16,0.257635747,0
Elizabeth: The Golden Age,7.608243,55000000,6.6,35,0.259135163,0
Extract,11.23915,8000000,5.7,62,0.262590099,0
From Dusk Till Dawn,15.339153,19000000,6.9,63,0.264609576,0
Swoon,0.003013,250000,5.9,73,0.265023652,0
Enough,6.681287,38000000,6.2,22,0.266426076,0
Testament,8.923953,1500000,6.3,89,0.266464928,0
The Extraordinary Adventures of Adèle Blanc-Sec,6.710598,25000000,5.9,85,0.26686217,0
Lucas,4.57535,6000000,6.4,73,0.268292683,0
The Green Inferno,9.336019,5000000,5,38,0.26830464,0
Small Soldiers,10.03936,40000000,6.2,48,0.268505178,0
Country Strong,4.582024,15000000,5.9,21,0.269333224,0
White House Down,9.920223,150000000,6.3,51,0.269599341,0
The Long Kiss Goodnight,14.482345,65000000,6.4,68,0.27339198,0
I Love Trouble,3.570874,45000000,5.3,22,0.273575701,0
The Crow: City of Angels,6.554679,13000000,5.2,11,0.274443726,0
Extremely Loud & Incredibly Close,7.82605,40000000,6.9,45,0.275990332,0
The Best of Me,8.196975,26000000,7.2,12,0.276294443,0
Lakeview Terrace,13.857624,20000000,5.9,44,0.276411732,0
Gridiron Gang,5.025475,30000000,6.6,42,0.276774722,0
"Hello, Dolly!",8.407519,24000000,6.6,45,0.277284737,0
Catch-22,4.984905,18000000,6.7,81,0.277447076,0
Admission,10.098539,13000000,5.5,39,0.277777778,0
13 Hours: The Secret Soldiers of Benghazi,18.022579,50000000,7,51,0.279656921,0
Before the Devil Knows You're Dead,9.309967,18000000,6.9,88,0.28015137,0
Night of the Living Dead,10.644165,4200000,6.7,67,0.280236124,0
Death Note,9.570657,20000000,6.8,78,0.280399522,0
Pay It Forward,10.479723,40000000,7,39,0.281962682,0
Breakdown,7.926621,36000000,6.6,10,0.282284403,0
Curious George,12.602502,50000000,6.1,70,0.284024738,0
The Sitter,13.105682,25000000,5.4,22,0.284532497,0
Fantastic Four,17.246484,120000000,4.4,28,0.285619018,0
Flicka,3.94159,15000000,6.1,54,0.285714286,0
Punchline,5.764399,15000000,5.1,60,0.286810119,0
Swiss Army Man,9.196678,3000000,6.8,72,0.287487763,0
Vampire in Brooklyn,9.071127,14000000,4.5,12,0.292929293,0
Harry Brown,7.478206,7300000,6.7,63,0.293303118,0
Stuart Little 2,9.274909,120000000,5.4,81,0.293938249,0
Snake Eyes,11.604533,73000000,5.8,41,0.297343248,0
Watchmen,16.551503,130000000,7,65,0.298279641,0
Enemy at the Gates,10.704813,68000000,7.2,53,0.298797531,0
The Best Offer,8.995603,13500000,7.7,56,0.298915193,0
A Lot Like Love,10.596719,30000000,6.5,41,0.300482744,0
RockNRolla,7.263988,18000000,6.9,60,0.300672539,0
Cocoon: The Return,12.167265,17500000,5.4,31,0.300697037,0
A Little Night Music,0.164585,200000,7.8,18,0.300699301,0
Run All Night,16.838145,50000000,6.3,59,0.301301686,0
Hardcore Henry,14.544852,10000000,6.2,51,0.302347809,0
The Lovely Bones,12.738789,65000000,6.6,31,0.305003018,0
The Host,11.342024,44000000,6,25,0.305195883,0
Swordfish,9.646208,102000000,6.1,25,0.306501811,0
2010,7.482865,28000000,6.6,66,0.306941964,0
Force 10 from Navarone,5.05047,5000000,6.4,63,0.308437068,0
30 Minutes or Less,9.763493,28000000,5.6,45,0.309450856,0
Mars Attacks!,15.63424,70000000,6.1,56,0.30946732,0
Superman Returns,13.284712,270000000,5.4,74,0.309606277,0
Battleship,13.106966,209000000,5.5,33,0.310289034,0
Love! Valour! Compassion!,1.7442,2000000,5.7,71,0.310344828,0
Haywire,9.574817,23000000,5.6,80,0.310811988,0
Beauty Shop,6.795949,25000000,5.4,38,0.312267632,0
Taking Lives,7.85646,45000000,6,22,0.312667842,0
Vegas Vacation,9.304901,25000000,6,16,0.313193606,0
Dolphin Tale 2,8.268684,36000000,6.7,66,0.313298604,0
S.W.A.T.,13.334952,80000000,5.8,48,0.314148618,0
Café Society,9.2467,30000000,6.4,71,0.314493278,0
Taxi,7.745017,25000000,4.8,9,0.317125834,0
Used Cars,6.963023,8000000,6.3,77,0.317133521,0
Fright Night,9.665251,17000000,6,72,0.317878247,0
Pure Luck,2.07443,17010000,5.5,15,0.318016954,0
Nutty Professor II: The Klumps,6.671316,84000000,4.7,27,0.318778689,0
Morning Glory,10.771255,40000000,6.1,64,0.319556392,0
Did You Hear About the Morgans?,7.323405,58000000,5.1,12,0.319889423,0
Private Parts,10.928417,28000000,6.7,73,0.320896013,0
